정류소ID,정류소명,xPos,yPos,wincId
7041008800,달서구치매안심센터앞,128.5372341,35.84259982,20953
7041008900,덕인초등학교앞,128.5367526,35.8394414,20946
7041009100,본리네거리2,128.5380187,35.83728823,5101
7041009200,보광병원앞,128.5409393,35.83722083,2564
7041009400,대구공업대학1,128.545575,35.83711763,21791
7041009500,대구공업대학2,128.5458641,35.83738335,5105
7041009600,더샵달서센트럴아파트앞,128.5446665,35.83825487,5006
7041009700,더샵달서센트럴아파트건너,128.5448125,35.83837472,5005
7041009900,제일여자상업고등학교건너,128.5447025,35.84177238,725
7041010000,성당포스코더샵앞,128.5482763,35.84335937,2107
7041010100,성당포스코더샵건너,128.54728,35.84352478,20941
7041010200,성당두산위브앞,128.5447747,35.84428845,21142
7041010400,대구광역시교육연수원건너,128.5452756,35.84712025,912
7041010500,대구광역시교육연수원앞,128.545166,35.8471929,911
7041010600,감삼초등학교건너,128.5465977,35.84907643,20958
7041010700,감삼초등학교앞,128.5462872,35.84885683,5178
7041010800,두류정수사업소앞,128.5478947,35.8509949,20959
7041010900,두류정수사업소건너,128.5480295,35.85143217,907
7041011000,서대구세무서,128.5487099,35.85304175,906
7041011100,성당코오롱하늘채,128.5427277,35.84355972,9112
7041011200,성당래미안e-편한세상앞,128.5427401,35.84340813,20955
7041011300,본리초등학교앞,128.539243,35.84359097,718
7041011400,본리초등학교건너,128.5390918,35.84343998,2791
7041011500,남대구IC1,128.534341,35.83722057,9245
7041011600,남대구IC2,128.5330213,35.83744482,565
7041011700,남부자동차종합시장앞,128.523075,35.83690167,3151
7041011800,남부자동차종합시장건너,128.5229677,35.83664033,567
7041011900,경희강재건너,128.5166024,35.83652917,1420
7041012000,경희강재앞,128.5171186,35.83629668,21015
7041012100,중앙일보건너,128.5099996,35.83592272,1722
7041012200,대구비지니스센터앞,128.5071654,35.8369212,9249
7041012300,대구비지니스센터건너,128.5074414,35.8374455,21016
7041012400,금복주건너,128.5071499,35.84175573,21017
7041013000,내일교회건너,128.5157971,35.83897495,860
7041013100,내일교회앞,128.5159415,35.83888657,861
7041013200,성서119안전센터앞,128.5071412,35.85040768,851
7041013300,성서119안전센터건너,128.5073856,35.85047785,856
7041013400,동원비즈플랫폼앞,128.5071475,35.8459803,852
7041013500,동원비즈플랫폼건너,128.5074158,35.84664213,855
7041014000,푸드웰건너,128.4991717,35.8350887,1744
7041014100,한국산업인력공단건너,128.5052949,35.83531488,1808
7041014200,한국산업인력공단앞,128.5044817,35.83556285,1725
7041014300,푸드웰앞,128.5005383,35.83540667,1726
7041014400,본리네거리,128.53672,35.83642667,9397
7041014500,학산공원1,128.5370085,35.83439925,579
7041014600,학산공원2,128.5372416,35.83458993,2140
7041014700,월성주공5단지앞,128.5366278,35.83215318,9116
7041014800,달서구청앞,128.5338102,35.82985477,2256
7041014900,달서구청건너,128.533893,35.82946013,2144
7041015100,월성주공2단지앞,128.5277406,35.82852035,2257
7041015200,월성푸르지오앞,128.5282133,35.82761518,5184
7041015400,월성2동행정복지센터앞,128.5282486,35.83108883,2258
7041015500,월성2동행정복지센터건너,128.527626,35.83091895,815
7041015600,월성주공4단지건너,128.5334805,35.83128407,2618
7041015700,월성주공4단지앞2,128.5326807,35.83144482,2334
7041015800,올림픽기념관앞,128.5411255,35.83388495,581
7041015900,올림픽기념관건너,128.5409904,35.83396745,577
7041016000,남부교육지원청건너,128.5463584,35.83382895,583
7041016100,남부교육지원청앞,128.5475959,35.8339246,5224
7041016200,대구공업대학건너,128.5447673,35.83632203,21790
7041016300,대구공업대학앞,128.5446176,35.83602502,9114
7041016400,송현2동행정복지센터건너,128.5445582,35.83248832,582
7041016500,송현여중고교건너,128.5445124,35.83042535,803
7041016600,송현여중고교앞,128.5446597,35.83054512,802
7041016700,송현초등학교건너,128.5438858,35.82689655,804
7041016800,상인화성파크드림건너,128.5475683,35.82249833,992
7041016900,상인화성파크드림앞,128.5474133,35.82237667,993
7041017100,월촌역(7번출구),128.545935,35.82446167,21798
7041017200,경북기계공고앞,128.543145,35.8214806,2266
7041017300,경북기계공고건너,128.543018,35.82098892,5187
7041017400,대구교통공사건너,128.5405071,35.81988945,994
7041017500,대구교통공사앞,128.5411043,35.81983212,2268
7041017600,영남고등학교앞,128.5352251,35.82125338,996
7041017700,영남고등학교건너,128.5367795,35.81962838,843
7041017800,월성e-편한세상건너,128.5313701,35.8247086,2568
7041017900,월성e-편한세상앞,128.5317278,35.82393532,5185
7041018000,성모여성의원건너,128.5352394,35.81833167,9124
7041018100,성모여성의원앞,128.535736,35.81822828,2267
7041018200,월배역(4번출구),128.531795,35.81694755,845
7041018300,월배역(3번출구),128.5320654,35.81680718,848
7041018400,월배초등학교건너,128.52803,35.81498,847
7041018500,월배시장건너,128.5270276,35.81488673,21601
7041018600,월배시장앞,128.5259054,35.81429517,836
7041018800,이마트월배점건너,128.523215,35.81567667,824
7041018900,월성1동행정복지센터앞,128.522692,35.81968435,5176
7041019100,월성자이앞,128.5258662,35.82091537,822
7041019200,상인자이앞,128.529125,35.82166833,9233
7041019300,아너스월성앞,128.5298383,35.82208,821
7041019400,보성은하타운앞,128.5348552,35.82393103,810
7041019500,월성영남맨션앞,128.53477,35.82402667,809
7041019600,대구하이텍고교앞,128.5382447,35.82479338,808
7041019700,대구하이텍고교건너,128.5389049,35.82505915,807
7041019800,진천역(1번출구),128.5218153,35.81376217,5010
7041019900,진천역(2번출구),128.5210891,35.81340287,833
7041020000,유천교(진천초등학교건너),128.516918,35.81155448,21020
7041020100,유천교(진천초등학교앞),128.5172087,35.81147927,5174
7111000100,대곡역(1번출구),128.5110789,35.80895062,2269
7111000200,대곡역(2번출구),128.511303,35.80879293,1706
7111000300,대원고등학교,128.5078893,35.80734553,2340
7041020200,진천청구타운앞,128.5250353,35.81215042,9281
7041020300,진천청구타운건너,128.5251498,35.81230088,835
7041020400,진월초등학교건너,128.5262283,35.81011897,954
7041020500,진월초등학교앞,128.5264169,35.81006388,953
7041020600,대곡주공8단지건너,128.5304969,35.80727443,21023
7041020700,대곡주공8단지앞,128.5292614,35.80769163,21771
7041020800,교대부설초등학교건너,128.5315099,35.80586413,21779
